pl_name,hostname,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff
11 Com b,11 Com,1,0,323.21000000,1.178000,12.200,1.090,4914.89849,15.46400,Msini,14.900000,G8 III,4874.00
11 UMi b,11 UMi,1,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,Msini,13.800000,K4 III,4213.00
14 And b,14 And,1,0,186.76000000,0.775000,13.100,1.160,1131.15130,3.55900,Msini,2.760000,K0 III,4888.00
14 Her b,14 Her,2,0,1765.03890000,2.774000,12.600,1.120,2559.47216,8.05300,Mass,7.030000,K0 V,5338.00
16 Cyg B b,16 Cyg B,1,0,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,Msini,1.260000,G3 V,5750.00
17 Sco b,17 Sco,1,0,578.38000000,1.450000,12.900,1.150,1373.01872,4.32000,Msini,3.510000,K3 III,4157.00
18 Del b,18 Del,1,0,982.85000000,2.476000,12.500,1.120,2926.24614,9.20700,Msini,8.230000,G6 III,4980.00
24 Boo b,24 Boo,1,0,30.33000000,0.194000,13.900,1.240,280.64248,0.88300,Msini,0.574000,G3 IV,4816.00
24 Sex b,24 Sex,2,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,Msini,1.440000,K0 IV,5098.00
24 Sex c,24 Sex,2,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,Msini,0.559000,K0 IV,5098.00
2MASS J19383260+4603591 b,2MASS J19383260+4603591,3,0,406.00000000,0.920000,13.400,1.200,603.87700,1.90000,Mass,1.380000,,29564.00
30 Ari B b,30 Ari B,1,0,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,Msini,13.000000,F6 V,6331.00
4 UMa b,4 UMa,1,0,270.27000000,0.877000,12.600,1.120,2511.48007,7.90200,Msini,6.900000,K1 III,4415.00
42 Dra b,42 Dra,1,0,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,Msini,3.080000,K1.5 III,4200.00
47 UMa b,47 UMa,3,0,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,Msini,1.920000,G0 V,5872.00
47 UMa c,47 UMa,3,0,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,Msini,0.329000,G1 V,5872.00
47 UMa d,47 UMa,3,0,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,Msini,1.160000,G0V,5872.00
51 Eri b,51 Eri,1,0,11688.00000000,13.200000,13.400,1.190,635.66000,2.00000,Mass,1.450000,F0 IV,7295.00
51 Peg b,51 Peg,1,0,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,Mass,0.275000,G5V,5758.00
55 Cnc b,55 Cnc,5,0,14.65160000,0.113400,13.900,1.240,263.97850,0.83060,Mass,0.540000,K0 IV-V,5172.00
55 Cnc c,55 Cnc,5,0,44.39890000,0.237300,8.510,0.760,54.47380,0.17140,Mass,0.486000,G8V,5172.00
55 Cnc d,55 Cnc,5,0,5574.20000000,5.957000,13.000,1.160,1232.49300,3.87800,Mass,3.080000,G8 V,5172.00
55 Cnc e,55 Cnc,5,0,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,Mass,6.660000,G8 V,5172.00
55 Cnc f,55 Cnc,5,0,259.88000000,0.770800,7.590,0.677,44.81200,0.14100,Mass,0.563000,G8V,5172.00
6 Lyn b,6 Lyn,1,0,919.86000000,2.028000,13.400,1.200,597.83523,1.88100,Msini,1.370000,K0 IV,4941.00
61 Vir b,61 Vir,3,0,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,Msini,2.980000,G5 V,5577.00
61 Vir c,61 Vir,3,0,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,Msini,1.130000,G5 V,5577.00
61 Vir d,61 Vir,3,0,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,Msini,0.943000,G5 V,5577.00
7 CMa b,7 CMa,2,0,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,Msin(i)/sin(i),1.340000,K1 III,4826.00
7 CMa c,7 CMa,2,0,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,Msin(i)/sin(i),0.566000,K1III(+M),4826.00
70 Vir b,70 Vir,1,0,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,Mass,6.540000,G5V,5495.00
75 Cet b,75 Cet,2,0,696.62000000,1.912000,13.300,1.180,787.89662,2.47900,Msini,1.840000,G3 III,4809.00
75 Cet c,75 Cet,2,0,2051.62000000,3.929000,13.900,1.240,289.85951,0.91200,Msini,0.593000,G3 III,4809.00
8 UMi b,8 UMi,1,0,93.40000000,0.490000,13.600,1.220,416.35730,1.31000,Msini,0.910000,K0,4847.00
81 Cet b,81 Cet,1,0,1005.57000000,2.104000,13.100,1.170,1051.05854,3.30700,Msini,2.570000,G5 III,4734.00
91 Aqr b,91 Aqr,1,0,181.40000000,0.700000,13.100,1.170,1017.00000,3.20000,Msini,2.490000,K0 III,4665.00
AF Lep b,AF Lep,1,0,8030.00000000,8.400000,13.100,1.170,1017.05090,3.20000,Mass,2.490000,F8 V,6130.00
AU Mic b,AU Mic,3,0,8.46299910,0.064500,3.957,0.353,20.12000,0.06330,Mass,1.320000,M1,3665.00
AU Mic c,AU Mic,3,0,18.85899100,0.110100,3.240,0.289,9.60000,0.03020,Mass,1.220000,M1,3665.00
BD+03 2562 b,BD+03 2562,1,0,481.90000000,1.300000,12.700,1.130,2034.11200,6.40000,Msini,5.460000,,4095.00
BD+14 4559 b,BD+14 4559,1,0,268.94000000,0.780000,13.800,1.230,330.54320,1.04000,Msini,0.691000,K2 V,4864.00
BD+15 2375 b,BD+15 2375,1,0,153.22000000,0.576000,13.800,1.230,337.21763,1.06100,Msini,0.705000,G5,4649.00
BD+15 2940 b,BD+15 2940,1,0,137.48000000,0.539000,13.700,1.230,352.78000,1.11000,Msini,0.754000,K0,4796.00
BD+20 2457 b,BD+20 2457,2,0,379.63000000,1.450000,12.100,1.080,6807.63000,21.42000,Msini,21.100000,K2 II,4137.00
BD+20 2457 c,BD+20 2457,2,0,621.99000000,2.010000,12.400,1.100,3963.17000,12.47000,Msini,11.400000,K2 II,4137.00
BD+20 274 b,BD+20 274,1,0,578.20000000,1.300000,13.000,1.160,1334.88600,4.20000,Msini,3.340000,K5 III,4296.00
BD+20 594 b,BD+20 594,1,0,41.68550000,0.241000,2.578,0.230,22.24810,0.07000,Mass,7.890000,G,5766.00
